ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	Direction
GO:0035675	neuromast hair cell development	10/162	109/85133	0.0917431192660551	48.212141805414	21.5359853078602	1.70313866061228e-14	1.27820556478952e-11	1.11690040585416e-11	TRINITY_DN154783_c0_g1_i2/TRINITY_DN155282_c0_g1_i1/TRINITY_DN183404_c2_g4_i4/TRINITY_DN187041_c0_g1_i1/TRINITY_DN192347_c1_g10_i3/TRINITY_DN193281_c0_g3_i1/TRINITY_DN193281_c0_g3_i3/TRINITY_DN193281_c0_g4_i3/TRINITY_DN193281_c0_g4_i4/TRINITY_DN193281_c0_g4_i5	10	Up
GO:0048886	neuromast hair cell differentiation	10/162	109/85133	0.0917431192660551	48.212141805414	21.5359853078602	1.70313866061228e-14	1.27820556478952e-11	1.11690040585416e-11	TRINITY_DN154783_c0_g1_i2/TRINITY_DN155282_c0_g1_i1/TRINITY_DN183404_c2_g4_i4/TRINITY_DN187041_c0_g1_i1/TRINITY_DN192347_c1_g10_i3/TRINITY_DN193281_c0_g3_i1/TRINITY_DN193281_c0_g3_i3/TRINITY_DN193281_c0_g4_i3/TRINITY_DN193281_c0_g4_i4/TRINITY_DN193281_c0_g4_i5	10	Up
GO:0048884	neuromast development	10/162	114/85133	0.087719298245614	46.0975741823695	21.0385677964068	2.69679590092232e-14	1.34929688242813e-11	1.17902024299972e-11	TRINITY_DN154783_c0_g1_i2/TRINITY_DN155282_c0_g1_i1/TRINITY_DN183404_c2_g4_i4/TRINITY_DN187041_c0_g1_i1/TRINITY_DN192347_c1_g10_i3/TRINITY_DN193281_c0_g3_i1/TRINITY_DN193281_c0_g3_i3/TRINITY_DN193281_c0_g4_i3/TRINITY_DN193281_c0_g4_i4/TRINITY_DN193281_c0_g4_i5	10	Up
GO:0048880	sensory system development	10/162	124/85133	0.0806451612903226	42.3800278773397	20.1343553210624	6.36168812175757e-14	1.59148231179302e-11	1.3906427017035e-11	TRINITY_DN154783_c0_g1_i2/TRINITY_DN155282_c0_g1_i1/TRINITY_DN183404_c2_g4_i4/TRINITY_DN187041_c0_g1_i1/TRINITY_DN192347_c1_g10_i3/TRINITY_DN193281_c0_g3_i1/TRINITY_DN193281_c0_g3_i3/TRINITY_DN193281_c0_g4_i3/TRINITY_DN193281_c0_g4_i4/TRINITY_DN193281_c0_g4_i5	10	Up
GO:0048882	lateral line development	10/162	124/85133	0.0806451612903226	42.3800278773397	20.1343553210624	6.36168812175757e-14	1.59148231179302e-11	1.3906427017035e-11	TRINITY_DN154783_c0_g1_i2/TRINITY_DN155282_c0_g1_i1/TRINITY_DN183404_c2_g4_i4/TRINITY_DN187041_c0_g1_i1/TRINITY_DN192347_c1_g10_i3/TRINITY_DN193281_c0_g3_i1/TRINITY_DN193281_c0_g3_i3/TRINITY_DN193281_c0_g4_i3/TRINITY_DN193281_c0_g4_i4/TRINITY_DN193281_c0_g4_i5	10	Up
GO:0048925	lateral line system development	10/162	124/85133	0.0806451612903226	42.3800278773397	20.1343553210624	6.36168812175757e-14	1.59148231179302e-11	1.3906427017035e-11	TRINITY_DN154783_c0_g1_i2/TRINITY_DN155282_c0_g1_i1/TRINITY_DN183404_c2_g4_i4/TRINITY_DN187041_c0_g1_i1/TRINITY_DN192347_c1_g10_i3/TRINITY_DN193281_c0_g3_i1/TRINITY_DN193281_c0_g3_i3/TRINITY_DN193281_c0_g4_i3/TRINITY_DN193281_c0_g4_i4/TRINITY_DN193281_c0_g4_i5	10	Up
GO:0008291	acetylcholine metabolic process	9/162	96/85133	0.09375	49.2667824074074	20.6608678847411	2.93985912865402e-13	3.67727379342473e-11	3.2132144511429e-11	TRINITY_DN154783_c0_g1_i2/TRINITY_DN155282_c0_g1_i1/TRINITY_DN183404_c2_g4_i4/TRINITY_DN192347_c1_g10_i3/TRINITY_DN193281_c0_g3_i1/TRINITY_DN193281_c0_g3_i3/TRINITY_DN193281_c0_g4_i3/TRINITY_DN193281_c0_g4_i4/TRINITY_DN193281_c0_g4_i5	9	Up
GO:0008292	acetylcholine biosynthetic process	9/162	96/85133	0.09375	49.2667824074074	20.6608678847411	2.93985912865402e-13	3.67727379342473e-11	3.2132144511429e-11	TRINITY_DN154783_c0_g1_i2/TRINITY_DN155282_c0_g1_i1/TRINITY_DN183404_c2_g4_i4/TRINITY_DN192347_c1_g10_i3/TRINITY_DN193281_c0_g3_i1/TRINITY_DN193281_c0_g3_i3/TRINITY_DN193281_c0_g4_i3/TRINITY_DN193281_c0_g4_i4/TRINITY_DN193281_c0_g4_i5	9	Up
GO:0030974	thiamine pyrophosphate transmembrane transport	9/162	96/85133	0.09375	49.2667824074074	20.6608678847411	2.93985912865402e-13	3.67727379342473e-11	3.2132144511429e-11	TRINITY_DN154783_c0_g1_i2/TRINITY_DN155282_c0_g1_i1/TRINITY_DN183404_c2_g4_i4/TRINITY_DN192347_c1_g10_i3/TRINITY_DN193281_c0_g3_i1/TRINITY_DN193281_c0_g3_i3/TRINITY_DN193281_c0_g4_i3/TRINITY_DN193281_c0_g4_i4/TRINITY_DN193281_c0_g4_i5	9	Up
GO:0090422	thiamine pyrophosphate transmembrane transporter activity	9/162	96/85133	0.09375	49.2667824074074	20.6608678847411	2.93985912865402e-13	3.67727379342473e-11	3.2132144511429e-11	TRINITY_DN154783_c0_g1_i2/TRINITY_DN155282_c0_g1_i1/TRINITY_DN183404_c2_g4_i4/TRINITY_DN192347_c1_g10_i3/TRINITY_DN193281_c0_g3_i1/TRINITY_DN193281_c0_g3_i3/TRINITY_DN193281_c0_g4_i3/TRINITY_DN193281_c0_g4_i4/TRINITY_DN193281_c0_g4_i5	9	Up
GO:1900619	acetate ester metabolic process	9/162	96/85133	0.09375	49.2667824074074	20.6608678847411	2.93985912865402e-13	3.67727379342473e-11	3.2132144511429e-11	TRINITY_DN154783_c0_g1_i2/TRINITY_DN155282_c0_g1_i1/TRINITY_DN183404_c2_g4_i4/TRINITY_DN192347_c1_g10_i3/TRINITY_DN193281_c0_g3_i1/TRINITY_DN193281_c0_g3_i3/TRINITY_DN193281_c0_g4_i3/TRINITY_DN193281_c0_g4_i4/TRINITY_DN193281_c0_g4_i5	9	Up
