ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	Direction
GO:0004471	malate dehydrogenase (decarboxylating) (NAD+) activity	3/38	46/85133	0.0652173913043478	146.109267734554	20.8031286950962	1.22891878280726e-06	0.00069556803106891	0.000425593978466936	TRINITY_DN10151_c0_g1_i1/TRINITY_DN185463_c2_g14_i1/TRINITY_DN185463_c2_g26_i1	3	Up
GO:0004473	malate dehydrogenase (decarboxylating) (NADP+) activity	3/38	64/85133	0.046875	105.016036184211	17.5910117270277	3.35430782359424e-06	0.00094926911407717	0.000580824881032897	TRINITY_DN10151_c0_g1_i1/TRINITY_DN185463_c2_g14_i1/TRINITY_DN185463_c2_g26_i1	3	Up
GO:0009060	aerobic respiration	4/38	294/85133	0.0136054421768707	30.4808449695668	10.7004493817476	9.37664974526431e-06	0.00154658450147275	0.000946301471051769	TRINITY_DN10151_c0_g1_i1/TRINITY_DN183833_c1_g2_i1/TRINITY_DN185463_c2_g14_i1/TRINITY_DN185463_c2_g26_i1	4	Up
GO:0016615	malate dehydrogenase activity	3/38	97/85133	0.0309278350515464	69.2889310906131	14.2206997024226	1.17500904622858e-05	0.00154658450147275	0.000946301471051769	TRINITY_DN10151_c0_g1_i1/TRINITY_DN185463_c2_g14_i1/TRINITY_DN185463_c2_g26_i1	3	Up
GO:0004470	malic enzyme activity	3/38	102/85133	0.0294117647058824	65.8924148606811	13.8577133546181	1.36624072568264e-05	0.00154658450147275	0.000946301471051769	TRINITY_DN10151_c0_g1_i1/TRINITY_DN185463_c2_g14_i1/TRINITY_DN185463_c2_g26_i1	3	Up
GO:0006108	malate metabolic process	3/38	132/85133	0.0227272727272727	50.9168660287081	12.1285380251197	2.95380162285426e-05	0.00278641953089252	0.00170491356827904	TRINITY_DN10151_c0_g1_i1/TRINITY_DN185463_c2_g14_i1/TRINITY_DN185463_c2_g26_i1	3	Up
GO:0016614	oxidoreductase activity	4/38	485/85133	0.00824742268041237	18.4770482908302	8.15674339653276	6.58671560264954e-05	0.00500250835482716	0.00306086153754535	TRINITY_DN10151_c0_g1_i1/TRINITY_DN172261_c0_g1_i2/TRINITY_DN185463_c2_g14_i1/TRINITY_DN185463_c2_g26_i1	4	Up
GO:0045333	cellular respiration	4/38	494/85133	0.00809716599190283	18.1404219049648	8.07394739650122	7.07068318703486e-05	0.00500250835482716	0.00306086153754535	TRINITY_DN10151_c0_g1_i1/TRINITY_DN183833_c1_g2_i1/TRINITY_DN185463_c2_g14_i1/TRINITY_DN185463_c2_g26_i1	4	Up
GO:0006101	citrate metabolic process	3/38	227/85133	0.013215859030837	29.6080454440065	9.12048892035573	0.000147302824371187	0.00926371095489907	0.00566814376820121	TRINITY_DN10151_c0_g1_i1/TRINITY_DN185463_c2_g14_i1/TRINITY_DN185463_c2_g26_i1	3	Up
GO:0072350	tricarboxylic acid metabolic process	3/38	240/85133	0.0125	28.0042763157895	8.85295830053959	0.000173517692020495	0.00982110136835999	0.00600919164997292	TRINITY_DN10151_c0_g1_i1/TRINITY_DN185463_c2_g14_i1/TRINITY_DN185463_c2_g26_i1	3	Up
