"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Direction","GeneRatio_num","Description_wrap"
"GO:0035675","neuromast hair cell development","9/179","109/85133",0.0825688073394495,39.2700015375942,18.3519399664511,2.33280180723049e-12,2.3106401900618e-09,2.05900454248712e-09,"TRINITY_DN154783_c0_g1_i2/TRINITY_DN155282_c0_g1_i1/TRINITY_DN183404_c2_g4_i4/TRINITY_DN187041_c0_g1_i1/TRINITY_DN192347_c1_g10_i3/TRINITY_DN193281_c0_g3_i1/TRINITY_DN193281_c0_g3_i3/TRINITY_DN193281_c0_g4_i3/TRINITY_DN193281_c0_g4_i4",9,"Up",0.0502793296089385,"neuromast hair cell development"
"GO:0048886","neuromast hair cell differentiation","9/179","109/85133",0.0825688073394495,39.2700015375942,18.3519399664511,2.33280180723049e-12,2.3106401900618e-09,2.05900454248712e-09,"TRINITY_DN154783_c0_g1_i2/TRINITY_DN155282_c0_g1_i1/TRINITY_DN183404_c2_g4_i4/TRINITY_DN187041_c0_g1_i1/TRINITY_DN192347_c1_g10_i3/TRINITY_DN193281_c0_g3_i1/TRINITY_DN193281_c0_g3_i3/TRINITY_DN193281_c0_g4_i3/TRINITY_DN193281_c0_g4_i4",9,"Up",0.0502793296089385,"neuromast hair cell differentiation"
"GO:0048884","neuromast development","9/179","114/85133",0.0789473684210526,37.5476330491032,17.9239904082661,3.51487640922873e-12,2.3209900555607e-09,2.06822727658827e-09,"TRINITY_DN154783_c0_g1_i2/TRINITY_DN155282_c0_g1_i1/TRINITY_DN183404_c2_g4_i4/TRINITY_DN187041_c0_g1_i1/TRINITY_DN192347_c1_g10_i3/TRINITY_DN193281_c0_g3_i1/TRINITY_DN193281_c0_g3_i3/TRINITY_DN193281_c0_g4_i3/TRINITY_DN193281_c0_g4_i4",9,"Up",0.0502793296089385,"neuromast development"
"GO:0048880","sensory system development","9/179","124/85133",0.0725806451612903,34.5195981257884,17.1458180063879,7.5574103971272e-12,2.4952049994515e-09,2.22346969052321e-09,"TRINITY_DN154783_c0_g1_i2/TRINITY_DN155282_c0_g1_i1/TRINITY_DN183404_c2_g4_i4/TRINITY_DN187041_c0_g1_i1/TRINITY_DN192347_c1_g10_i3/TRINITY_DN193281_c0_g3_i1/TRINITY_DN193281_c0_g3_i3/TRINITY_DN193281_c0_g4_i3/TRINITY_DN193281_c0_g4_i4",9,"Up",0.0502793296089385,"sensory system development"
"GO:0048882","lateral line development","9/179","124/85133",0.0725806451612903,34.5195981257884,17.1458180063879,7.5574103971272e-12,2.4952049994515e-09,2.22346969052321e-09,"TRINITY_DN154783_c0_g1_i2/TRINITY_DN155282_c0_g1_i1/TRINITY_DN183404_c2_g4_i4/TRINITY_DN187041_c0_g1_i1/TRINITY_DN192347_c1_g10_i3/TRINITY_DN193281_c0_g3_i1/TRINITY_DN193281_c0_g3_i3/TRINITY_DN193281_c0_g4_i3/TRINITY_DN193281_c0_g4_i4",9,"Up",0.0502793296089385,"lateral line development"
"GO:0048925","lateral line system development","9/179","124/85133",0.0725806451612903,34.5195981257884,17.1458180063879,7.5574103971272e-12,2.4952049994515e-09,2.22346969052321e-09,"TRINITY_DN154783_c0_g1_i2/TRINITY_DN155282_c0_g1_i1/TRINITY_DN183404_c2_g4_i4/TRINITY_DN187041_c0_g1_i1/TRINITY_DN192347_c1_g10_i3/TRINITY_DN193281_c0_g3_i1/TRINITY_DN193281_c0_g3_i3/TRINITY_DN193281_c0_g4_i3/TRINITY_DN193281_c0_g4_i4",9,"Up",0.0502793296089385,"lateral line system development"
"GO:0006656","phosphatidylcholine biosynthetic process","11/179","271/85133",0.040590405904059,19.304933105197,13.854063621879,1.9153456860126e-11,5.42042829141565e-09,4.8301273916438e-09,"TRINITY_DN154783_c0_g1_i2/TRINITY_DN155282_c0_g1_i1/TRINITY_DN174637_c0_g1_i3/TRINITY_DN176116_c0_g1_i2/TRINITY_DN183404_c2_g4_i4/TRINITY_DN192347_c1_g10_i3/TRINITY_DN193281_c0_g3_i1/TRINITY_DN193281_c0_g3_i3/TRINITY_DN193281_c0_g4_i3/TRINITY_DN193281_c0_g4_i4/TRINITY_DN24133_c0_g1_i1",11,"Up",0.0614525139664804,"phosphatidylcholine biosynthetic
process"
"GO:0008291","acetylcholine metabolic process","8/179","96/85133",0.0833333333333333,39.6336126629423,17.3851319086111,3.69453205910711e-11,5.62989846853168e-09,5.01678563815597e-09,"TRINITY_DN154783_c0_g1_i2/TRINITY_DN155282_c0_g1_i1/TRINITY_DN183404_c2_g4_i4/TRINITY_DN192347_c1_g10_i3/TRINITY_DN193281_c0_g3_i1/TRINITY_DN193281_c0_g3_i3/TRINITY_DN193281_c0_g4_i3/TRINITY_DN193281_c0_g4_i4",8,"Up",0.0446927374301676,"acetylcholine metabolic process"
"GO:0008292","acetylcholine biosynthetic process","8/179","96/85133",0.0833333333333333,39.6336126629423,17.3851319086111,3.69453205910711e-11,5.62989846853168e-09,5.01678563815597e-09,"TRINITY_DN154783_c0_g1_i2/TRINITY_DN155282_c0_g1_i1/TRINITY_DN183404_c2_g4_i4/TRINITY_DN192347_c1_g10_i3/TRINITY_DN193281_c0_g3_i1/TRINITY_DN193281_c0_g3_i3/TRINITY_DN193281_c0_g4_i3/TRINITY_DN193281_c0_g4_i4",8,"Up",0.0446927374301676,"acetylcholine biosynthetic process"
"GO:0030974","thiamine pyrophosphate transmembrane transport","8/179","96/85133",0.0833333333333333,39.6336126629423,17.3851319086111,3.69453205910711e-11,5.62989846853168e-09,5.01678563815597e-09,"TRINITY_DN154783_c0_g1_i2/TRINITY_DN155282_c0_g1_i1/TRINITY_DN183404_c2_g4_i4/TRINITY_DN192347_c1_g10_i3/TRINITY_DN193281_c0_g3_i1/TRINITY_DN193281_c0_g3_i3/TRINITY_DN193281_c0_g4_i3/TRINITY_DN193281_c0_g4_i4",8,"Up",0.0446927374301676,"thiamine pyrophosphate
transmembrane transport"
