gene_id,T0001,T0002,T0003,T0004,T0005,T0006,T0007,T0008,T0009
mikado.Chr02G7,2,1,0,0,6,0,0,0,2
mikado.Chr02G4,4,2,7,10,5,8,11,35,3
mikado.Chr02G8,3,0,2,0,0,7,0,1,0
mikado.Chr02G6,33,35,20,27,33,77,37,54,25
mikado.Chr02G12,0,0,0,0,6,0,0,0,0
mikado.Chr02G14,0,10,0,8,0,8,2,0,0
mikado.Chr02G9,2022,2083,2218,3010,3326,2544,2648,2553,2528
tRNA-Cys1047_gene,0,0,0,0,0,0,0,0,0
mikado.Chr02G1,21,13,7,9,16,6,11,10,12
mikado.Chr02G2,3173,3191,3160,2613,2716,3879,3456,3269,2406
mikado.Chr02G3,7481,7936,7872,9198,10173,12303,7218,7522,6911
tRNA-Arg1045_gene,0,0,0,0,0,0,0,0,0
tRNA-Arg1044_gene,0,0,0,0,0,0,0,0,0
tRNA-Xxx1043_gene,0,0,0,0,0,0,0,0,0
tRNA-Phe905_gene,0,0,0,0,0,0,0,0,0
tRNA-Cys1042_gene,0,0,0,0,0,0,0,0,0
mikado.Chr02G16,251,307,208,238,305,92,189,317,278
tRNA-Arg906_gene,0,0,0,0,0,0,0,0,0
mikado.Chr02G18,120,111,128,82,108,323,117,134,102
mikado.Chr02G20,693,793,828,855,885,1397,847,885,794
mikado.Chr02G19,521,580,541,715,675,788,802,736,776
mikado.Chr02G21,3876,4345,4230,5544,4122,10996,5598,5611,4231
mikado.Chr02G24,40,53,63,67,43,125,40,56,79
mikado.Chr02G26,41,58,58,56,35,52,49,48,38
mikado.Chr02G27,1105,1289,1222,1218,1636,2425,1427,1455,1308
mikado.Chr02G22,246,247,263,252,274,718,337,307,276
mikado.Chr02G23,4321,4075,4380,4345,4305,4368,3977,3601,3424
miRNA37_gene,4,5,3,3,6,16,8,6,1
mikado.Chr02G33,381,483,487,595,423,839,550,581,551
mikado.Chr02G28,5748,6915,6663,7743,7791,10871,8003,8271,6881
mikado.Chr02G29,114,106,123,129,94,328,128,101,104
mikado.Chr02G30,4266,5204,5057,6336,5728,8712,5901,5926,5920
mikado.Chr02G32,3862,3703,3376,3256,3697,4491,3178,3466,3066
tRNA-Arg920_gene,2,0,0,0,0,0,0,0,0
tRNA-Cys912_gene,0,0,0,0,0,0,0,0,0
tRNA-Xxx913_gene,0,0,0,0,0,0,0,0,0
tRNA-Arg1040_gene,0,0,0,0,0,0,0,0,0
tRNA-Arg914_gene,0,0,0,0,0,0,0,0,0
mikado.Chr02G52,2188,2538,2459,2744,2092,8249,2844,2909,1896
tRNA-Arg1020_gene,0,0,0,0,0,0,0,0,0
tRNA-Arg936_gene,0,0,0,0,0,0,0,0,0
mikado.Chr02G54,0,0,0,0,0,0,0,0,0
tRNA-Arg937_gene,0,0,0,0,0,0,0,0,0
tRNA-Arg1019_gene,0,0,0,0,0,0,0,0,0
tRNA-Ser938_gene,0,0,0,0,0,0,0,0,0
tRNA-Cys939_gene,0,0,0,0,0,0,0,0,0
tRNA-Arg940_gene,0,0,0,0,0,0,2,0,0
tRNA-Arg1017_gene,0,0,0,0,0,0,0,0,0
tRNA-Arg941_gene,0,0,0,0,0,0,0,0,0
tRNA-Arg1016_gene,0,0,0,0,0,0,0,0,0
