ID	CFWKZHG1	CFWKZHG2	CFWKZHG3	CFWKNHG1	CFWKNHG2	CFWKNHG3	CFWKAHG1	CFWKAHG2	CFWKAHG3
mikado.Chr01G1	4.617541204	3.52955179	2.169516481	2.886761267	2.97611123	4.253591264	3.091100294	3.81019353	2.180320799
mikado.Chr01G10	10.04085931	14.42060491	13.62540537	6.512617559	10.93410087	18.83413613	9.905691124	10.72552962	7.462880931
mikado.Chr01G100	0	0	0	0	0	0	0	0	0
mikado.Chr01G101	0.605103954	0	0	0	0	0	0	0	0
mikado.Chr01G102	4.414490144	4.754896271	4.594888279	4.918775081	5.091135089	4.225533491	5.437896138	4.294777727	5.66841057
mikado.Chr01G103	26.27959363	27.01427346	26.32243954	24.99595912	26.48982362	19.59286431	26.03030933	24.30759018	30.83272964
mikado.Chr01G104	9.884906015	15.25545396	10.67347586	11.15186006	9.519673487	15.01132036	14.19986583	11.23397657	10.15581138
mikado.Chr01G105	45.96332775	47.8004929	58.46955333	53.69082027	39.73112378	56.70611844	66.09057237	64.85378625	67.1965867
mikado.Chr01G106	25.70688462	27.44236874	27.88166035	28.68139845	26.62928747	26.91541407	24.74759002	26.83585334	26.6912256
mikado.Chr01G107	11.90871527	12.98015149	12.89162385	13.97514909	13.30062354	12.07416116	11.9959643	12.45549781	14.03864844
mikado.Chr01G109	2.484104025	1.423115965	1.452297182	1.545202471	3.102212924	1.652875041	1.616518352	2.047468527	1.042455107
mikado.Chr01G11	5.248989374	4.819370306	4.253738962	4.608391174	5.912408734	4.20393303	5.453939737	4.625809173	6.655536269
mikado.Chr01G110	0.518259266	0.918782212	0.866343952	0.454945616	0.434431331	1.846956356	0.859838322	0.851616534	1.171640847
mikado.Chr01G115	17.26492626	20.35830714	21.18704048	22.81754666	20.17177724	24.48185556	21.94298624	21.91684707	21.30099965
mikado.Chr01G116	49.34629577	55.82313178	59.31381192	61.81683346	56.07399072	52.26756261	57.97649634	56.9955885	64.65682399
mikado.Chr01G117	0.755096729	0.752397575	0.903738278	0.539098687	0.645376112	1.334747336	0.529832825	0.845623665	0.794433446
mikado.Chr01G118	0	0	0	0	0	0.583752857	0	0	0.47105221
mikado.Chr01G119	0.863253135	0.915817877	0.780866223	0.513758164	0.4048638	0.415824333	0.260800823	0.690046032	0.654689445
mikado.Chr01G120	1.861270751	1.295295825	1.690555651	1.270393879	0.514776353	0.89740005	0.998332041	1.689533754	0.737344531
mikado.Chr01G121	1.177865966	1.585783689	1.18248879	1.160543104	1.62299867	2.090729327	1.084404461	1.253340418	1.191602349
mikado.Chr01G123	8.373339136	7.53435608	7.399067506	7.291153626	6.519250406	6.7214814	9.278050274	10.37620826	10.31923944
mikado.Chr01G124	4.057014825	5.027308171	4.248289729	5.152114856	4.612690682	3.157544768	4.440673248	4.419697779	4.903368842
mikado.Chr01G125	26.05783788	23.50676322	24.99824502	21.80519322	22.30790391	24.48554748	26.10539724	25.00178913	27.86659023
mikado.Chr01G126	31.59402351	31.69224155	34.08795337	37.83822731	36.44311563	33.52391987	35.852775	34.85909428	36.18544439
mikado.Chr01G127	0	0.25881012	0.470071057	0	0.226463974	0.286680216	0	0.359181854	0.278384479
mikado.Chr01G128	2.005244375	3.132119868	2.048183022	1.745585585	1.963203316	1.63790113	2.206396606	2.251092263	2.268699491
mikado.Chr01G129	18.24872141	17.78933852	14.77422469	16.86356666	19.10541313	9.536475729	11.69364746	12.49642477	13.42026122
mikado.Chr01G13	1.055400263	0.989892452	0.963410925	0.482990517	1.157136077	0.801912034	1.101945106	0.99430239	1.268685871
mikado.Chr01G130	12.7161847	9.689730163	11.81902605	9.482796102	7.810047005	5.644142694	6.276330306	6.109888528	7.454447565
mikado.Chr01G131	14.40274333	17.08125676	16.67343292	17.95061602	14.25777968	16.99255696	17.70842379	17.13208515	16.79003372
