"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Direction","GeneRatio_num","Description_wrap"
"GO:0047886","farnesol dehydrogenase activity","8/158","17/11181",0.470588235294118,33.3015636634401,15.9564999289836,2.90510779742688e-11,1.95513754766829e-08,1.70840725210086e-08,"mikado.Chr06G531/mikado.Chr03G52/mikado.Chr03G54/mikado.Chr03G56/mikado.Chr03G57/mikado.Chr03G58/mikado.Chr03G59/mikado.Chr03G62",8,"Down",0.0506329113924051,"farnesol dehydrogenase activity"
"GO:0072555","17-beta-ketosteroid reductase (NADPH) activity","8/158","17/11181",0.470588235294118,33.3015636634401,15.9564999289836,2.90510779742688e-11,1.95513754766829e-08,1.70840725210086e-08,"mikado.Chr06G531/mikado.Chr03G52/mikado.Chr03G54/mikado.Chr03G56/mikado.Chr03G57/mikado.Chr03G58/mikado.Chr03G59/mikado.Chr03G62",8,"Down",0.0506329113924051,"17-beta-ketosteroid reductase
(NADPH) activity"
"GO:0072582","17-beta-hydroxysteroid dehydrogenase (NADP+) activity","8/158","17/11181",0.470588235294118,33.3015636634401,15.9564999289836,2.90510779742688e-11,1.95513754766829e-08,1.70840725210086e-08,"mikado.Chr06G531/mikado.Chr03G52/mikado.Chr03G54/mikado.Chr03G56/mikado.Chr03G57/mikado.Chr03G58/mikado.Chr03G59/mikado.Chr03G62",8,"Down",0.0506329113924051,"17-beta-hydroxysteroid
dehydrogenase (NADP+) activity"
"GO:0000253","3-keto sterol reductase activity","8/158","18/11181",0.444444444444444,31.4514767932489,15.4793846064215,5.16683167964666e-11,2.60795829030165e-08,2.27884470923363e-08,"mikado.Chr06G531/mikado.Chr03G52/mikado.Chr03G54/mikado.Chr03G56/mikado.Chr03G57/mikado.Chr03G58/mikado.Chr03G59/mikado.Chr03G62",8,"Down",0.0506329113924051,"3-keto sterol reductase activity"
"GO:0004303","estradiol 17-beta-dehydrogenase [NAD(P)+] activity","8/158","20/11181",0.4,28.3063291139241,14.6327618896826,1.45215927544124e-10,5.86381915423172e-08,5.12382935924108e-08,"mikado.Chr06G531/mikado.Chr03G52/mikado.Chr03G54/mikado.Chr03G56/mikado.Chr03G57/mikado.Chr03G58/mikado.Chr03G59/mikado.Chr03G62",8,"Down",0.0506329113924051,"estradiol 17-beta-dehydrogenase
[NAD(P)+] activity"
"GO:0016114","terpenoid biosynthetic process","9/158","36/11181",0.25,17.6914556962025,12.0089481459807,1.21472868487276e-09,4.08756202459683e-07,3.57172855411709e-07,"mikado.Chr06G531/mikado.Chr03G52/mikado.Chr03G54/mikado.Chr03G56/mikado.Chr03G57/mikado.Chr03G58/mikado.Chr03G59/mikado.Chr03G62/mikado.Chr04G295",9,"Down",0.0569620253164557,"terpenoid biosynthetic process"
"GO:0033764","steroid dehydrogenase activity","8/158","26/11181",0.307692307692308,21.7740993184031,12.6961963950953,1.67592604088585e-09,4.83384953792647e-07,4.22383766093937e-07,"mikado.Chr06G531/mikado.Chr03G52/mikado.Chr03G54/mikado.Chr03G56/mikado.Chr03G57/mikado.Chr03G58/mikado.Chr03G59/mikado.Chr03G62",8,"Down",0.0506329113924051,"steroid dehydrogenase activity"
"GO:0004745","all-trans-retinol dehydrogenase (NAD+) activity","8/158","27/11181",0.296296296296296,20.9676511954993,12.4363542703432,2.35319606094995e-09,5.27900316339773e-07,4.61281473468084e-07,"mikado.Chr06G531/mikado.Chr03G52/mikado.Chr03G54/mikado.Chr03G56/mikado.Chr03G57/mikado.Chr03G58/mikado.Chr03G59/mikado.Chr03G62",8,"Down",0.0506329113924051,"all-trans-retinol dehydrogenase
(NAD+) activity"
"GO:0016229","steroid dehydrogenase activity","8/158","27/11181",0.296296296296296,20.9676511954993,12.4363542703432,2.35319606094995e-09,5.27900316339773e-07,4.61281473468084e-07,"mikado.Chr06G531/mikado.Chr03G52/mikado.Chr03G54/mikado.Chr03G56/mikado.Chr03G57/mikado.Chr03G58/mikado.Chr03G59/mikado.Chr03G62",8,"Down",0.0506329113924051,"steroid dehydrogenase activity"
"GO:0006718","juvenile hormone biosynthetic process","8/158","30/11181",0.266666666666667,18.8708860759494,11.7340881722527,5.98473813873274e-09,1.08939362969252e-06,9.51916646262958e-07,"mikado.Chr06G531/mikado.Chr03G52/mikado.Chr03G54/mikado.Chr03G56/mikado.Chr03G57/mikado.Chr03G58/mikado.Chr03G59/mikado.Chr03G62",8,"Down",0.0506329113924051,"juvenile hormone biosynthetic
process"
